order_id,customer_id,product_id,quantity,order_date,total_amount,status
1,1,1,1,2024-02-14,49.99,completed
2,2,3,2,2024-02-14,79.98,completed
3,3,5,1,2024-02-15,54.99,completed
4,1,8,1,2024-02-20,29.99,completed
5,4,10,1,2024-02-21,69.99,completed
6,5,2,1,2024-02-25,34.99,completed
7,6,7,2,2024-02-28,95.98,completed
8,7,15,1,2024-03-01,89.99,completed
9,2,12,1,2024-03-02,36.99,completed
10,8,4,1,2024-03-05,44.99,completed
11,3,9,1,2024-03-07,64.99,completed
12,9,1,2,2024-03-08,99.98,completed
13,10,6,1,2024-03-10,42.99,completed
14,4,11,3,2024-03-12,74.97,completed
15,5,13,1,2024-03-14,32.99,completed
16,1,2,1,2024-03-15,34.99,pending
17,6,14,2,2024-03-16,39.98,pending
18,7,1,1,2024-03-18,49.99,pending
19,8,10,1,2024-03-20,69.99,processing
20,9,5,1,2024-03-22,54.99,processing
