transaction_id,user_id,transaction_timestamp,transaction_type,amount_usd,payment_method,currency
txn_20260125_0,user_74,2026-01-26 03:06:36.470285,subscription,9.99,paypal,USD
txn_20260125_1,user_658,2026-01-26 05:43:36.470285,ad_revenue,0.37,paypal,USD
txn_20260125_2,user_819,2026-01-26 06:17:36.470285,rental,6.11,credit_card,USD
txn_20260125_3,user_504,2026-01-26 03:34:36.470285,rental,5.67,google_pay,USD
txn_20260125_4,user_685,2026-01-25 18:14:36.470285,ad_revenue,0.33,google_pay,USD
txn_20260125_5,user_483,2026-01-25 22:21:36.470285,ad_revenue,0.05,paypal,USD
txn_20260125_6,user_699,2026-01-26 03:05:36.470285,subscription,19.99,google_pay,USD
txn_20260125_7,user_551,2026-01-25 21:30:36.470285,ad_revenue,0.21,paypal,USD
txn_20260125_8,user_782,2026-01-26 00:00:36.470285,rental,5.95,paypal,USD
txn_20260125_9,user_741,2026-01-25 22:13:36.470285,rental,4.91,apple_pay,USD
txn_20260125_10,user_767,2026-01-25 19:28:36.470285,subscription,9.99,paypal,USD
txn_20260125_11,user_204,2026-01-25 11:31:36.470285,rental,5.55,google_pay,USD
txn_20260125_12,user_51,2026-01-26 03:10:36.470285,subscription,14.99,google_pay,USD
txn_20260125_13,user_191,2026-01-25 12:09:36.470285,purchase,15.56,apple_pay,USD
txn_20260125_14,user_99,2026-01-25 20:54:36.470285,rental,5.47,paypal,USD
txn_20260125_15,user_883,2026-01-25 20:54:36.470285,rental,6.64,google_pay,USD
txn_20260125_16,user_27,2026-01-25 10:31:36.470285,subscription,19.99,google_pay,USD
txn_20260125_17,user_297,2026-01-25 15:33:36.470285,ad_revenue,0.09,paypal,USD
txn_20260125_18,user_473,2026-01-26 05:29:36.470285,subscription,9.99,credit_card,USD
txn_20260125_19,user_384,2026-01-26 05:36:36.470285,subscription,14.99,paypal,USD
txn_20260125_20,user_558,2026-01-26 07:47:36.470285,subscription,19.99,paypal,USD
txn_20260125_21,user_469,2026-01-25 16:01:36.470285,subscription,14.99,credit_card,USD
txn_20260125_22,user_752,2026-01-26 05:57:36.470285,subscription,19.99,google_pay,USD
txn_20260125_23,user_988,2026-01-25 22:12:36.470285,ad_revenue,0.23,google_pay,USD
txn_20260125_24,user_647,2026-01-25 11:38:36.470285,ad_revenue,0.12,google_pay,USD
txn_20260125_25,user_466,2026-01-26 05:37:36.470285,subscription,9.99,google_pay,USD
txn_20260125_26,user_123,2026-01-26 01:50:36.470285,purchase,21.72,apple_pay,USD
txn_20260125_27,user_483,2026-01-26 00:23:36.470285,rental,4.42,paypal,USD
txn_20260125_28,user_581,2026-01-25 17:20:36.470285,subscription,14.99,credit_card,USD
txn_20260125_29,user_661,2026-01-26 05:35:36.470285,subscription,19.99,credit_card,USD
txn_20260125_30,user_416,2026-01-26 07:56:36.470285,subscription,14.99,paypal,USD
txn_20260125_31,user_615,2026-01-25 23:43:36.470285,subscription,9.99,paypal,USD
txn_20260125_32,user_229,2026-01-26 03:42:36.470285,ad_revenue,0.03,paypal,USD
txn_20260125_33,user_70,2026-01-25 12:21:36.470285,subscription,9.99,apple_pay,USD
txn_20260125_34,user_57,2026-01-26 09:17:36.470285,subscription,14.99,google_pay,USD
txn_20260125_35,user_155,2026-01-26 07:24:36.470285,subscription,9.99,credit_card,USD
txn_20260125_36,user_548,2026-01-26 07:36:36.470285,ad_revenue,0.35,apple_pay,USD
txn_20260125_37,user_778,2026-01-25 14:43:36.470285,rental,5.1,paypal,USD
txn_20260125_38,user_780,2026-01-25 19:55:36.470285,subscription,19.99,google_pay,USD
txn_20260125_39,user_200,2026-01-25 18:09:36.470285,purchase,11.92,credit_card,USD
txn_20260125_40,user_849,2026-01-26 08:09:36.470285,rental,5.43,google_pay,USD
txn_20260125_41,user_210,2026-01-26 01:12:36.470285,ad_revenue,0.18,google_pay,USD
txn_20260125_42,user_869,2026-01-25 23:13:36.470285,purchase,12.53,apple_pay,USD
txn_20260125_43,user_393,2026-01-25 20:29:36.470285,ad_revenue,0.38,apple_pay,USD
txn_20260125_44,user_843,2026-01-26 07:16:36.470285,rental,5.97,credit_card,USD
txn_20260125_45,user_201,2026-01-26 01:45:36.470285,subscription,19.99,google_pay,USD
txn_20260125_46,user_428,2026-01-25 22:45:36.470285,rental,5.58,paypal,USD
txn_20260125_47,user_517,2026-01-25 11:47:36.470285,purchase,17.08,google_pay,USD
txn_20260125_48,user_471,2026-01-25 18:29:36.470285,ad_revenue,0.45,credit_card,USD
txn_20260125_49,user_844,2026-01-26 09:53:36.470285,subscription,14.99,apple_pay,USD
txn_20260125_50,user_424,2026-01-25 22:44:36.470285,subscription,19.99,google_pay,USD
txn_20260125_51,user_606,2026-01-25 11:47:36.470285,subscription,14.99,credit_card,USD
txn_20260125_52,user_953,2026-01-25 21:10:36.470285,subscription,9.99,google_pay,USD
txn_20260125_53,user_789,2026-01-25 23:51:36.470285,subscription,14.99,apple_pay,USD
txn_20260125_54,user_44,2026-01-26 09:13:36.470285,subscription,19.99,paypal,USD
txn_20260125_55,user_87,2026-01-26 08:37:36.470285,ad_revenue,0.28,apple_pay,USD
txn_20260125_56,user_139,2026-01-25 21:47:36.470285,subscription,19.99,credit_card,USD
txn_20260125_57,user_967,2026-01-26 08:54:36.470285,rental,6.36,apple_pay,USD
txn_20260125_58,user_55,2026-01-25 11:00:36.470285,subscription,19.99,google_pay,USD
txn_20260125_59,user_512,2026-01-26 01:12:36.470285,rental,4.09,credit_card,USD
txn_20260125_60,user_323,2026-01-25 18:01:36.470285,subscription,19.99,apple_pay,USD
txn_20260125_61,user_811,2026-01-26 06:12:36.470285,ad_revenue,0.35,paypal,USD
txn_20260125_62,user_672,2026-01-26 09:06:36.470285,rental,4.81,apple_pay,USD
txn_20260125_63,user_283,2026-01-25 23:54:36.470285,ad_revenue,0.19,google_pay,USD
txn_20260125_64,user_503,2026-01-26 01:51:36.470285,subscription,14.99,paypal,USD
txn_20260125_65,user_991,2026-01-26 07:42:36.470285,subscription,14.99,credit_card,USD
txn_20260125_66,user_887,2026-01-26 09:13:36.470285,subscription,9.99,credit_card,USD
txn_20260125_67,user_335,2026-01-26 08:15:36.470285,ad_revenue,0.11,apple_pay,USD
txn_20260125_68,user_652,2026-01-25 18:31:36.470285,rental,6.64,apple_pay,USD
txn_20260125_69,user_578,2026-01-25 14:01:36.470285,subscription,9.99,apple_pay,USD
txn_20260125_70,user_755,2026-01-25 15:15:36.470285,rental,4.23,paypal,USD
txn_20260125_71,user_523,2026-01-26 08:42:36.470285,rental,4.83,credit_card,USD
txn_20260125_72,user_157,2026-01-26 00:12:36.470285,ad_revenue,0.22,credit_card,USD
txn_20260125_73,user_527,2026-01-25 23:59:36.470285,purchase,17.81,paypal,USD
txn_20260125_74,user_589,2026-01-25 16:35:36.470285,subscription,19.99,apple_pay,USD
txn_20260125_75,user_40,2026-01-25 13:30:36.470285,ad_revenue,0.28,credit_card,USD
txn_20260125_76,user_486,2026-01-26 00:57:36.470285,subscription,14.99,credit_card,USD
txn_20260125_77,user_224,2026-01-25 11:00:36.470285,rental,5.01,google_pay,USD
txn_20260125_78,user_252,2026-01-25 13:24:36.470285,ad_revenue,0.48,apple_pay,USD
txn_20260125_79,user_216,2026-01-25 19:29:36.470285,purchase,17.98,apple_pay,USD
txn_20260125_80,user_3,2026-01-25 12:57:36.470285,rental,6.67,paypal,USD
txn_20260125_81,user_24,2026-01-25 21:01:36.470285,subscription,19.99,credit_card,USD
txn_20260125_82,user_774,2026-01-25 13:37:36.470285,subscription,19.99,google_pay,USD
txn_20260125_83,user_307,2026-01-26 09:54:36.470285,subscription,9.99,paypal,USD
txn_20260125_84,user_382,2026-01-26 04:04:36.470285,ad_revenue,0.43,google_pay,USD
txn_20260125_85,user_964,2026-01-25 11:37:36.470285,rental,5.59,credit_card,USD
txn_20260125_86,user_354,2026-01-26 09:39:36.470285,subscription,14.99,apple_pay,USD
txn_20260125_87,user_722,2026-01-26 07:23:36.470285,subscription,14.99,paypal,USD
txn_20260125_88,user_313,2026-01-25 12:40:36.470285,rental,5.31,paypal,USD
txn_20260125_89,user_128,2026-01-26 08:29:36.470285,ad_revenue,0.1,google_pay,USD
txn_20260125_90,user_178,2026-01-25 15:08:36.470285,subscription,14.99,paypal,USD
txn_20260125_91,user_613,2026-01-25 16:16:36.470285,rental,4.47,credit_card,USD
txn_20260125_92,user_414,2026-01-26 08:30:36.470285,rental,6.52,apple_pay,USD
txn_20260125_93,user_279,2026-01-25 21:07:36.470285,subscription,9.99,apple_pay,USD
txn_20260125_94,user_473,2026-01-25 16:22:36.470285,rental,5.77,paypal,USD
txn_20260125_95,user_596,2026-01-26 00:28:36.470285,subscription,14.99,google_pay,USD
txn_20260125_96,user_620,2026-01-26 05:54:36.470285,rental,6.24,apple_pay,USD
txn_20260125_97,user_557,2026-01-25 18:53:36.470285,subscription,14.99,google_pay,USD
txn_20260125_98,user_192,2026-01-26 08:32:36.470285,ad_revenue,0.11,google_pay,USD
txn_20260125_99,user_508,2026-01-26 04:50:36.470285,rental,4.01,credit_card,USD
txn_20260125_100,user_906,2026-01-26 00:11:36.470285,subscription,19.99,apple_pay,USD
txn_20260125_101,user_573,2026-01-25 18:05:36.470285,subscription,14.99,paypal,USD
txn_20260125_102,user_359,2026-01-26 01:03:36.470285,purchase,12.93,apple_pay,USD
txn_20260125_103,user_884,2026-01-25 23:16:36.470285,rental,5.8,paypal,USD
txn_20260125_104,user_85,2026-01-26 01:35:36.470285,ad_revenue,0.01,credit_card,USD
txn_20260125_105,user_787,2026-01-25 23:08:36.470285,subscription,19.99,apple_pay,USD
txn_20260125_106,user_790,2026-01-26 04:49:36.470285,rental,4.26,google_pay,USD
txn_20260125_107,user_141,2026-01-25 20:42:36.470285,subscription,14.99,google_pay,USD
txn_20260125_108,user_235,2026-01-26 10:02:36.470285,ad_revenue,0.33,credit_card,USD
txn_20260125_109,user_512,2026-01-26 05:54:36.470285,subscription,9.99,paypal,USD
txn_20260125_110,user_502,2026-01-25 12:06:36.470285,rental,5.34,google_pay,USD
txn_20260125_111,user_391,2026-01-26 06:37:36.470285,subscription,9.99,credit_card,USD
txn_20260125_112,user_901,2026-01-26 04:12:36.470285,rental,6.46,apple_pay,USD
txn_20260125_113,user_521,2026-01-26 09:39:36.470285,subscription,9.99,paypal,USD
txn_20260125_114,user_392,2026-01-26 05:17:36.470285,rental,4.7,google_pay,USD
txn_20260125_115,user_975,2026-01-25 21:22:36.470285,rental,5.29,credit_card,USD
txn_20260125_116,user_647,2026-01-25 23:46:36.470285,subscription,14.99,apple_pay,USD
txn_20260125_117,user_866,2026-01-25 22:46:36.470285,ad_revenue,0.24,google_pay,USD
txn_20260125_118,user_732,2026-01-26 01:02:36.470285,subscription,19.99,credit_card,USD
txn_20260125_119,user_635,2026-01-25 22:01:36.470285,subscription,14.99,credit_card,USD
txn_20260125_120,user_784,2026-01-25 20:45:36.470285,rental,4.19,apple_pay,USD
txn_20260125_121,user_82,2026-01-26 04:53:36.470285,ad_revenue,0.41,apple_pay,USD
txn_20260125_122,user_705,2026-01-25 15:06:36.470285,rental,5.5,paypal,USD
txn_20260125_123,user_60,2026-01-26 00:09:36.470285,ad_revenue,0.01,apple_pay,USD
txn_20260125_124,user_173,2026-01-25 23:30:36.470285,subscription,19.99,google_pay,USD
txn_20260125_125,user_8,2026-01-26 03:04:36.470285,rental,4.55,paypal,USD
txn_20260125_126,user_356,2026-01-26 09:59:36.470285,ad_revenue,0.37,apple_pay,USD
txn_20260125_127,user_614,2026-01-26 00:15:36.470285,ad_revenue,0.13,paypal,USD
