user_id,signup_date,country,subscription_tier,age_group
user_1,2026-01-10 10:22:36.470285,US,basic,45-54
user_2,2025-06-06 10:22:36.470285,US,premium,45-54
user_3,2025-10-19 10:22:36.470285,CA,free,35-44
user_4,2025-07-07 10:22:36.470285,US,free,18-24
user_5,2025-12-14 10:22:36.470285,US,basic,25-34
user_6,2026-01-05 10:22:36.470285,US,free,55+
user_7,2025-06-05 10:22:36.470285,CA,premium,35-44
user_8,2026-01-10 10:22:36.470285,UK,premium,55+
user_9,2025-02-11 10:22:36.470285,US,basic,35-44
user_10,2025-02-21 10:22:36.470285,CA,free,55+
user_11,2025-11-30 10:22:36.470285,US,free,25-34
user_12,2025-03-12 10:22:36.470285,US,free,25-34
user_13,2025-08-03 10:22:36.470285,US,free,35-44
user_14,2026-01-07 10:22:36.470285,CA,basic,45-54
user_15,2025-04-02 10:22:36.470285,US,premium,25-34
user_16,2025-08-08 10:22:36.470285,US,basic,55+
user_17,2025-05-07 10:22:36.470285,US,free,45-54
user_18,2025-09-04 10:22:36.470285,AU,free,45-54
user_19,2025-09-01 10:22:36.470285,UK,basic,55+
user_20,2025-08-21 10:22:36.470285,UK,free,18-24
user_21,2025-01-31 10:22:36.470285,CA,free,25-34
user_22,2025-09-27 10:22:36.470285,AU,free,18-24
user_23,2025-12-24 10:22:36.470285,US,basic,45-54
user_24,2025-06-27 10:22:36.470285,AU,basic,55+
user_25,2025-12-24 10:22:36.470285,US,basic,35-44
user_26,2025-06-13 10:22:36.470285,US,premium,18-24
user_27,2025-04-14 10:22:36.470285,US,basic,18-24
user_28,2025-08-03 10:22:36.470285,CA,premium,18-24
user_29,2025-11-02 10:22:36.470285,US,basic,25-34
user_30,2025-12-20 10:22:36.470285,AU,basic,25-34
user_31,2025-12-28 10:22:36.470285,CA,premium,55+
user_32,2025-10-29 10:22:36.470285,AU,premium,45-54
user_33,2025-09-02 10:22:36.470285,AU,premium,25-34
user_34,2025-08-28 10:22:36.470285,DE,premium,45-54
user_35,2025-06-12 10:22:36.470285,FR,basic,35-44
user_36,2025-08-28 10:22:36.470285,US,basic,35-44
user_37,2025-03-21 10:22:36.470285,CA,basic,18-24
user_38,2025-10-18 10:22:36.470285,CA,premium,18-24
user_39,2025-08-07 10:22:36.470285,UK,premium,18-24
user_40,2025-04-04 10:22:36.470285,FR,basic,45-54
user_41,2025-03-26 10:22:36.470285,US,basic,45-54
user_42,2025-05-06 10:22:36.470285,UK,premium,18-24
user_43,2025-03-27 10:22:36.470285,CA,premium,25-34
user_44,2025-12-09 10:22:36.470285,US,basic,45-54
user_45,2025-03-10 10:22:36.470285,US,free,45-54
user_46,2025-09-26 10:22:36.470285,US,free,35-44
user_47,2025-09-17 10:22:36.470285,US,premium,35-44
user_48,2025-03-13 10:22:36.470285,US,premium,18-24
user_49,2025-11-18 10:22:36.470285,US,premium,18-24
user_50,2025-05-20 10:22:36.470285,UK,basic,18-24
user_51,2025-12-25 10:22:36.470285,US,basic,35-44
user_52,2025-09-07 10:22:36.470285,US,premium,55+
user_53,2025-04-26 10:22:36.470285,US,basic,45-54
user_54,2025-08-21 10:22:36.470285,FR,premium,55+
user_55,2025-07-09 10:22:36.470285,CA,free,25-34
user_56,2025-09-17 10:22:36.470285,DE,free,18-24
user_57,2025-03-16 10:22:36.470285,DE,basic,55+
user_58,2025-11-27 10:22:36.470285,AU,basic,25-34
user_59,2025-10-26 10:22:36.470285,UK,premium,55+
user_60,2025-03-13 10:22:36.470285,CA,free,25-34
user_61,2025-03-17 10:22:36.470285,UK,free,18-24
user_62,2025-08-16 10:22:36.470285,US,basic,18-24
user_63,2025-08-03 10:22:36.470285,AU,premium,18-24
user_64,2025-08-20 10:22:36.470285,US,basic,35-44
user_65,2025-03-22 10:22:36.470285,AU,free,35-44
user_66,2026-01-02 10:22:36.470285,US,free,35-44
user_67,2025-11-28 10:22:36.470285,US,free,45-54
user_68,2025-10-28 10:22:36.470285,UK,premium,45-54
user_69,2025-10-08 10:22:36.470285,US,premium,55+
user_70,2025-02-26 10:22:36.470285,CA,basic,55+
user_71,2025-12-25 10:22:36.470285,DE,basic,18-24
user_72,2026-01-08 10:22:36.470285,DE,free,45-54
user_73,2025-08-22 10:22:36.470285,AU,free,18-24
user_74,2026-01-24 10:22:36.470285,AU,basic,35-44
user_75,2025-10-02 10:22:36.470285,FR,basic,55+
user_76,2025-09-14 10:22:36.470285,CA,basic,25-34
user_77,2025-12-02 10:22:36.470285,DE,free,45-54
user_78,2025-02-03 10:22:36.470285,US,basic,55+
user_79,2025-02-12 10:22:36.470285,US,premium,25-34
user_80,2025-09-24 10:22:36.470285,CA,basic,35-44
user_81,2025-03-28 10:22:36.470285,US,basic,45-54
user_82,2025-08-22 10:22:36.470285,US,free,25-34
user_83,2025-05-20 10:22:36.470285,US,premium,35-44
user_84,2025-06-15 10:22:36.470285,CA,basic,35-44
user_85,2025-07-23 10:22:36.470285,US,basic,45-54
